trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.58225296695963,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.997}",25,0,-153.8062016059108,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.994009}",20,0,-64.35555242838575,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.991026973}",20,0,-36.13221278068719,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.988053892081}",25,0,-158.92144983314753,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.985089730404757}",20,0,-185.73895922447423,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9821344612135428}",20,0,-95.91817446451279,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.979188057829902}",30,0,-162.50997659705266,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9762504936564124}",25,0,-52.92937140457981,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9733217421754431}",25,0,-177.26388839711635,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9704017769489168}",25,0,-151.66619366503818,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9674905716180701}",20,0,-127.21370269296033,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9645880999032158}",25,0,-84.45205888516341,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9616943356035061}",20,0,-93.55579356684257,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9588092525966957}",30,0,-93.6776622920986,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9559328248389056}",25,0,-232.60563774676064,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9530650263643888}",20,0,-183.75228623340456,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9502058312852957}",20,0,-125.63680618948325,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9473552137914398}",20,0,-89.39739613887167,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9445131481500655}",30,0,-322.0827871733107,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 6}",0
