trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.78058096778045,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.78428781389546,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.94443987187384,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-114.03753175688814,"{0: 22, 1: 7, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.76583250496956,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.23919083711678,"{0: 8, 1: 2, 2: 5, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.42728983704481,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-297.2736329543972,"{0: 14, 1: 5, 2: 10, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.10845157310177,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.66715444289187,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.73712288027062,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.291469094538165,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.12560036532108,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-1.985026962917273,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.52472592059652,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.21915366248521,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.83585559692065,"{0: 20, 1: 4, 2: 6, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.20581107837556,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.68141037081951,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.66385712103401,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.00669948144497,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.24870411460631,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-202.93915585665957,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.6434506091288,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.91382128652566,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.53467759271982,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.40887910620963,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,11,-7.58769673022425,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-163.26707307653948,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-217.33113011971895,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
