trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.22329973110346,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.85710126015237,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.950730492311,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.26532130984532,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.6171661790553,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.02297370220998,"{0: 8, 1: 5, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.2443367480754,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.98859624101992,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.6078935162967,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.41261962219897,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.77613839337698,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.4427732334335,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.61132828679486,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.32666784615913,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.25160022935119,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.49246505160446,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.80552562738228,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.98757162109564,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.631893063253294,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.21666178476369,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.77388543529809,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,9,-122.32621554406497,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-210.98495745075235,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,4,-79.73299332807564,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-169.30927779082757,"{0: 14, 1: 6, 2: 7, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.57811908956962,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.6529546380153,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-82.4956239061406,"{0: 21, 1: 3, 2: 3, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.34837792245452,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.03175256820886,"{0: 13, 1: 7, 2: 3, 3: 2, 4: 0}",0
